Ref,Val,Package,PosX,PosY,Rot,Side
"D79","CUS05S30","CUS05S30H3F",399.000000,-182.700000,-90.000000,top
"D80","CUS05S30","CUS05S30H3F",413.000000,-177.950000,-90.000000,top
"D81","CUS05S30","CUS05S30H3F",426.000000,-182.250000,-90.000000,top
"D82","CUS05S30","CUS05S30H3F",439.000000,-177.850000,-90.000000,top
"D83","CUS05S30","CUS05S30H3F",452.000000,-182.100000,-90.000000,top
"D84","CUS05S30","CUS05S30H3F",464.950000,-177.750000,-90.000000,top
"D85","CUS05S30","CUS05S30H3F",478.000000,-182.150000,-90.000000,top
"D86","CUS05S30","CUS05S30H3F",491.000000,-177.750000,-90.000000,top
"D87","CUS05S30","CUS05S30H3F",503.950000,-182.150000,-90.000000,top
"D88","CUS05S30","CUS05S30H3F",517.050000,-177.800000,-90.000000,top
"D89","CUS05S30","CUS05S30H3F",529.950000,-182.000000,-90.000000,top
"D90","CUS05S30","CUS05S30H3F",543.000000,-177.650000,-90.000000,top
"D91","CUS05S30","CUS05S30H3F",555.950000,-182.000000,-90.000000,top
"D92","CUS05S30","CUS05S30H3F",399.000000,-181.150000,-90.000000,top
"D93","CUS05S30","CUS05S30H3F",413.000000,-176.400000,-90.000000,top
"D94","CUS05S30","CUS05S30H3F",426.000000,-180.750000,-90.000000,top
"D95","CUS05S30","CUS05S30H3F",439.000000,-176.300000,-90.000000,top
"D96","CUS05S30","CUS05S30H3F",452.000000,-180.550000,-90.000000,top
"D97","CUS05S30","CUS05S30H3F",465.000000,-176.200000,-90.000000,top
"D98","CUS05S30","CUS05S30H3F",477.950000,-180.550000,-90.000000,top
"D99","CUS05S30","CUS05S30H3F",491.000000,-176.200000,-90.000000,top
"D100","CUS05S30","CUS05S30H3F",503.950000,-180.650000,-90.000000,top
"D101","CUS05S30","CUS05S30H3F",517.100000,-176.300000,-90.000000,top
"D102","CUS05S30","CUS05S30H3F",529.950000,-180.500000,-90.000000,top
"D103","CUS05S30","CUS05S30H3F",543.000000,-176.150000,-90.000000,top
"D104","CUS05S30","CUS05S30H3F",555.950000,-180.450000,-90.000000,top
"D105","CUS05S30","CUS05S30H3F",399.000000,-179.600000,-90.000000,top
"D106","CUS05S30","CUS05S30H3F",413.000000,-174.850000,-90.000000,top
"D107","CUS05S30","CUS05S30H3F",426.000000,-179.200000,-90.000000,top
"D108","CUS05S30","CUS05S30H3F",439.000000,-174.750000,-90.000000,top
"D109","CUS05S30","CUS05S30H3F",452.000000,-179.000000,-90.000000,top
"D110","CUS05S30","CUS05S30H3F",465.000000,-174.650000,-90.000000,top
"D111","CUS05S30","CUS05S30H3F",477.950000,-179.000000,-90.000000,top
"D112","CUS05S30","CUS05S30H3F",491.000000,-174.650000,-90.000000,top
"D113","CUS05S30","CUS05S30H3F",503.950000,-179.100000,-90.000000,top
